245,PEG,Public Service Enterprise Group Inc,1,peg,,5
246,VRSK,Verisk Analytics Inc,1,vrsk,,12
247,HAL,Halliburton Company,1,hal,,3
248,WEC,WEC Energy Group Inc,1,wec,,5
249,ENPH,Enphase Energy Inc.,1,enph,,12
250,KEYS,Keysight Technologies Inc,1,keys,,9
251,BKR,Baker Hughes Company Class A,1,bkr,,12
252,DLR,Digital Realty Trust Inc.,1,dlr,,1
253,GEHC,GE Healthcare Technologies Inc.,1,gehc,,8
254,OKE,ONEOK Inc.,1,oke,,12
255,CSGP,CoStar Group Inc.,1,csgp,,9
256,URI,United Rentals Inc.,1,uri,,12
257,SBAC,SBA Communications Corp. Class A,1,sbac,,3
258,ANSS,ANSYS Inc.,1,anss,,9
259,GPN,Global Payments Inc.,1,gpn,,8
260,AWK,American Water Works Company Inc.,1,awk,,3
261,STT,State Street Corporation,1,stt,,12
262,ZBH,Zimmer Biomet Holdings Inc.,1,zbh,,8
263,RSG,Republic Services Inc.,1,rsg,,8
264,ULTA,Ulta Beauty Inc.,1,ulta,,4
265,CDW,CDW Corporation,1,cdw,,2
266,DFS,Discover Financial Services,1,dfs,,3
267,LEN,Lennar Corporation Class A,1,len,,12
268,ES,Eversource Energy,1,es,,6
269,ALB,Albemarle Corporation,1,alb,,12
270,TSCO,Tractor Supply Company,1,tsco,,7
271,EIX,Edison International,1,eix,,4
272,PCG,PG&E Corporation,1,pcg,,4
273,GLW,Corning Inc,1,glw,,3
274,ABC,AmerisourceBergen Corporation,1,abc,,2
275,CEG,Constellation Energy Corporation,1,ceg,,5
276,WTW,Willis Towers Watson Public Limited Company,1,wtw,,4
277,ACGL,Arch Capital Group Ltd.,1,acgl,,2
278,EFX,Equifax Inc.,1,efx,,5
279,WST,West Pharmaceutical Services Inc.,1,wst,,4
280,TROW,T. Rowe Price Group,1,trow,,1
281,HPQ,HP Inc.,1,hpq,,12
282,IT,Gartner Inc.,1,it,,2
283,WBA,Walgreens Boots Alliance Inc.,1,wba,,9
284,FANG,Diamondback Energy Inc.,1,fang,,8
285,ALGN,Align Technology Inc.,1,algn,,6
286,CBRE,CBRE Group Inc. Class A,1,cbre,,4
287,EBAY,eBay Inc.,1,ebay,,8
288,GPC,Genuine Parts Company,1,gpc,,3
289,FTV,Fortive Corp.,1,ftv,,2
290,PWR,Quanta Services Inc.,1,pwr,,4
291,PODD,Insulet Corporation,1,podd,,8
292,IR,Ingersoll Rand Inc.,1,ir,,9
293,AVB,AvalonBay Communities Inc.,1,avb,,9
294,LYB,LyondellBasell Industries NV,1,lyb,,4
295,MPWR,Monolithic Power Systems Inc.,1,mpwr,,12
296,HIG,Hartford Financial Services Group Inc.,1,hig,,7
297,VMC,Vulcan Materials Company,1,vmc,,3
298,WY,Weyerhaeuser Company,1,wy,,2
299,DAL,Delta Air Lines Inc.,1,dal,,2
300,AEE,Ameren Corporation,1,aee,,2
301,MTB,M&T Bank Corporation,1,mtb,,6
302,IFF,International Flavors & Fragrances Inc.,1,iff,,8
303,FE,FirstEnergy Corp.,1,fe,,12
304,EXR,Extra Space Storage Inc.,1,exr,,3
305,ETR,Entergy Corporation,1,etr,,4
306,MLM,Martin Marietta Materials Inc.,1,mlm,,6
307,FSLR,First Solar Inc.,1,fslr,,2
308,CHD,Church & Dwight Co. Inc.,1,chd,,3
309,DTE,DTE Energy Company,1,dte,,8
310,BAX,Baxter International Inc.,1,bax,,2
311,DOV,Dover Corporation,1,dov,,1
312,TDY,Teledyne Technologies Incorporated,1,tdy,,7
313,HOLX,Hologic Inc.,1,holx,,9
314,PPL,PPL Corporation,1,ppl,,9
315,LH,Laboratory Corporation of America Holdings,1,lh,,9
316,EQR,Equity Residential,1,eqr,,9
317,ARE,Alexandria Real Estate Equities Inc.,1,are,,2
318,CLX,Clorox Company,1,clx,,9
319,CTRA,Coterra Energy Inc.,1,ctra,,3
320,HPE,Hewlett Packard Enterprise Co.,1,hpe,,6
321,CAH,Cardinal Health Inc.,1,cah,,5
322,TTWO,Take-Two Interactive Software Inc.,1,ttwo,,9
323,FITB,Fifth Third Bancorp,1,fitb,,8
324,VRSN,VeriSign Inc.,1,vrsn,,5
325,SWKS,Skyworks Solutions Inc.,1,swks,,9
326,DRI,Darden Restaurants Inc.,1,dri,,3
327,STLD,Steel Dynamics Inc.,1,stld,,6
328,LUV,Southwest Airlines Co.,1,luv,,1
329,WAT,Waters Corporation,1,wat,,2
330,RJF,Raymond James Financial Inc.,1,rjf,,7
331,OMC,Omnicom Group Inc,1,omc,,12
332,STE,STERIS Plc,1,ste,,5
333,NDAQ,Nasdaq Inc.,1,ndaq,,8
334,MKC,McCormick & Company Incorporated,1,mkc,,5
335,NTRS,Northern Trust Corporation,1,ntrs,,3
336,LVS,Las Vegas Sands Corp.,1,lvs,,9
337,CNP,CenterPoint Energy Inc.,1,cnp,,9
338,RF,Regions Financial Corporation,1,rf,,5
339,XYL,Xylem Inc.,1,xyl,,2
340,WAB,Westinghouse Air Brake Technologies Corporation,1,wab,,6
341,CINF,Cincinnati Financial Corporation,1,cinf,,5
342,VTR,Ventas Inc.,1,vtr,,2
343,FICO,Fair Isaac Corporation,1,fico,,3
344,CMS,CMS Energy Corporation,1,cms,,4
345,INVH,Invitation Homes Inc.,1,invh,,4
346,COO,Cooper Companies Inc.,1,coo,,3
347,CAG,Conagra Brands Inc.,1,cag,,4
348,PFG,Principal Financial Group Inc.,1,pfg,,4
349,TSN,Tyson Foods Inc. Class A,1,tsn,,7
350,EXPD,Expeditors International of Washington Inc.,1,expd,,7
351,MAA,Mid-America Apartment Communities Inc.,1,maa,,4
352,IEX,IDEX Corporation,1,iex,,6
353,K,Kellogg Company,1,k,,4
354,TER,Teradyne Inc.,1,ter,,12
355,SEDG,SolarEdge Technologies Inc.,1,sedg,,9
356,NVR,NVR Inc.,1,nvr,,1
357,BALL,Ball Corporation,1,ball,,12
358,SJM,J.M. Smucker Company,1,sjm,,1
359,AMCR,Amcor PLC,1,amcr,,9
360,CFG,Citizens Financial Group Inc.,1,cfg,,9
361,BR,Broadridge Financial Solutions Inc.,1,br,,9
362,HBAN,Huntington Bancshares Incorporated,1,hban,,7
363,FDS,FactSet Research Systems Inc.,1,fds,,6
364,EPAM,EPAM Systems Inc.,1,epam,,6
365,TRGP,Targa Resources Corp.,1,trgp,,2
367,ATO,Atmos Energy Corporation,1,ato,,7
368,BBY,Best Buy Co. Inc.,1,bby,,4
369,FLT,FLEETCOR Technologies Inc.,1,flt,,9
370,DGX,Quest Diagnostics Incorporated,1,dgx,,9
371,MOS,Mosaic Company,1,mos,,5
372,MOH,Molina Healthcare Inc.,1,moh,,8
373,AES,AES Corporation,1,aes,,2
374,FMC,FMC Corporation,1,fmc,,8
375,ZBRA,Zebra Technologies Corporation Class A,1,zbra,,8
376,GRMN,Garmin Ltd.,1,grmn,,2
377,HWM,Howmet Aerospace Inc.,1,hwm,,7
378,IRM,Iron Mountain Inc.,1,irm,,4
379,J,Jacobs Solutions Inc.,1,j,,8
380,CF,CF Industries Holdings Inc.,1,cf,,12
381,BG,Bunge Limited,1,bg,,8
382,MRO,Marathon Oil Corporation,1,mro,,9
383,TXT,Textron Inc.,1,txt,,8
384,UAL,United Airlines Holdings Inc.,1,ual,,1
385,MKTX,MarketAxess Holdings Inc.,1,mktx,,4
386,EXPE,Expedia Group Inc.,1,expe,,9
387,LW,Lamb Weston Holdings Inc.,1,lw,,5
388,JBHT,J.B. Hunt Transport Services Inc.,1,jbht,,4
389,ETSY,Etsy Inc.,1,etsy,,8
390,AVY,Avery Dennison Corporation,1,avy,,6
391,LKQ,LKQ Corporation,1,lkq,,8
392,NTAP,NetApp Inc.,1,ntap,,7
393,RE,Everest Re Group Ltd.,1,re,,1
394,RCL,Royal Caribbean Group,1,rcl,,4
395,IPG,Interpublic Group of Companies Inc.,1,ipg,,3
396,TYL,Tyler Technologies Inc.,1,tyl,,3
397,INCY,Incyte Corporation,1,incy,,7
398,MGM,MGM Resorts International,1,mgm,,8
399,EVRG,Evergy Inc.,1,evrg,,9
400,POOL,Pool Corporation,1,pool,,8
401,CBOE,Cboe Global Markets Inc,1,cboe,,9
402,PAYC,Paycom Software Inc.,1,payc,,7
403,ESS,Essex Property Trust Inc.,1,ess,,6
404,BRO,Brown & Brown Inc.,1,bro,,2
405,SYF,Synchrony Financial,1,syf,,9
406,LNT,Alliant Energy Corp,1,lnt,,5
407,PHM,PulteGroup Inc.,1,phm,,12
408,PTC,PTC Inc.,1,ptc,,7
409,SNA,Snap-on Incorporated,1,sna,,6
410,WRB,W. R. Berkley Corporation,1,wrb,,12
411,IP,International Paper Company,1,ip,,3
412,LDOS,Leidos Holdings Inc.,1,ldos,,4
413,PKG,Packaging Corporation of America,1,pkg,,5
414,TRMB,Trimble Inc.,1,trmb,,6
415,STX,Seagate Technology Holdings PLC,1,stx,,2
416,CTLT,Catalent Inc,1,ctlt,,12
417,UDR,UDR Inc.,1,udr,,1
418,AKAM,Akamai Technologies Inc.,1,akam,,3
419,KEY,KeyCorp,1,key,,12
420,VTRS,Viatris Inc.,1,vtrs,,4
421,SWK,Stanley Black & Decker Inc.,1,swk,,2
422,TECH,Bio-Techne Corporation,1,tech,,3
423,MAS,Masco Corporation,1,mas,,9
424,TFX,Teleflex Incorporated,1,tfx,,2
425,PEAK,Healthpeak Properties Inc.,1,peak,,1
426,APA,APA Corporation,1,apa,,5
427,CHRW,C.H. Robinson Worldwide Inc.,1,chrw,,1
428,DPZ,Domino's Pizza Inc.,1,dpz,,8
429,HST,Host Hotels & Resorts Inc.,1,hst,,9
430,WDC,Western Digital Corporation,1,wdc,,6
431,WYNN,Wynn Resorts Limited,1,wynn,,7
432,EQT,EQT Corporation,1,eqt,,3
433,CPT,Camden Property Trust,1,cpt,,2
434,BF-B,Brown-Forman Corporation Class B,1,bf-b,,9
435,NDSN,Nordson Corporation,1,ndsn,,9
436,BWA,BorgWarner Inc.,1,bwa,,7
437,KIM,Kimco Realty Corporation,1,kim,,7
438,HRL,Hormel Foods Corporation,1,hrl,,4
439,JKHY,Jack Henry & Associates Inc.,1,jkhy,,6
440,CPB,Campbell Soup Company,1,cpb,,7
